exception_list
NETFSD26 IN Equity
PVTBANIE IN Equity
LICN100 IN Equity
LICMFGLD IN Equity
NIFTYIET IN Equity
UTINN50 IN Equity
KOPSUB IN Equity
BBEES IN Equity
RELGILT IN Equity
JBEES IN Equity
ITIETF IN Equity
UTNIFTY IN Equity
SBINIFT IN Equity
BETF430 IN Equity
RSENSEX IN Equity
AXGOLD IN Equity
NBEES IN Equity
NNIFCP24 IN Equity
PSUBBE IN Equity
BANKIETF IN Equity
KOTSS IN Equity
SGETS IN Equity
KOGOLD IN Equity
GOLDIETF IN Equity
UTBANETF IN Equity
UTIGOL IN Equity
BETF0425 IN Equity
NIPNIFIT IN Equity
LICSENS IN Equity
HNIFTY IN Equity
KOTBANK IN Equity
MOSTNDX IN Equity
HDFGOLD IN Equity
BETF0431 IN Equity
GBEES IN Equity
BETF423 IN Equity
KONIFTY IN Equity
NIFTYETF IN Equity
MOSTM50 IN Equity
MOST100 IN Equity
ICICIB22 IN Equity
CPSEBE IN Equity
LICNIFT IN Equity
LBEES IN Equity
GOLDTECH IN Equity
NAPEROL IN Equity
